GCF_001618385.1	Paludibacter jiangxiensis
GCF_000183135.1	Paludibacter propionicigenes WB4
GCF_009707705.1	Paludibacterium denitrificans
GCF_037076605.1	Paludibacterium flexuosum
GCF_018802605.1	Paludibacterium paludis
GCF_004363805.1	Paludibacterium purpuratum
GCF_018802645.1	Paludibacterium yongneupense
GCF_015277775.1	Paludibaculum fermentans
GCF_002245355.1	Paludifilum halophilum
GCF_001956985.1	Paludisphaera borealis
GCF_029589435.1	Paludisphaera mucosa
GCF_011065895.1	Paludisphaera rhizosphaerae
GCF_011064595.1	Paludisphaera soli
GCF_033971325.1	Pampinifervens diazotrophicum
GCF_011006175.1	Pampinifervens florentissimum
GCF_004364935.1	Panacagrimonas perspica
GCF_007971225.1	Panacibacter ginsenosidivorans
GCF_015831355.1	Panacibacter microcysteis
GCF_902459765.1	Pandoraea anapnoica
GCF_902459655.1	Pandoraea anhela
GCF_001465595.2	Pandoraea apista
GCF_902459565.1	Pandoraea aquatica
GCF_902459805.1	Pandoraea bronchicola
GCF_902459735.1	Pandoraea capi
GCF_902459775.1	Pandoraea captiosa
GCF_902459625.1	Pandoraea cepalis
GCF_024704525.1	Pandoraea commovens
GCF_902459745.1	Pandoraea communis
GCF_902459725.1	Pandoraea eparura
GCF_001029105.3	Pandoraea faecigallinarum
GCF_000807775.2	Pandoraea fibrosis
GCF_902459555.1	Pandoraea horticolens
GCF_902459685.1	Pandoraea iniqua
GCF_902459575.1	Pandoraea morbifera
GCF_001465545.3	Pandoraea norimbergensis
GCF_902459585.1	Pandoraea nosoerga
GCF_000972785.3	Pandoraea oxalativorans
GCF_902459645.1	Pandoraea pneumonica
GCF_000504585.2	Pandoraea pnomenusa
GCF_000815105.2	Pandoraea pulmonicola
GCF_902459595.1	Pandoraea soli
GCF_900187205.1	Pandoraea sputorum
GCF_902459695.1	Pandoraea terrae
GCF_902459705.1	Pandoraea terrigena
GCF_001017775.3	Pandoraea thiooxydans
GCF_000934605.2	Pandoraea vervacti
GCF_036881715.1	Pannonibacter anstelovis
GCF_003012935.1	Pannonibacter carbonis
GCF_001418225.1	Pannonibacter indicus
GCF_900454465.1	Pannonibacter phragmitetus
GCF_009915765.1	Pannonibacter tanglangensis
GCF_036688125.1	Pannus brasiliensis CCIBt3594
GCF_050753385.1	Pantanalinema rosaneae CENA516
GCF_019048385.1	Pantoea agglomerans
GCF_019880205.1	Pantoea alfalfae
GCF_002101395.1	Pantoea alhagi
GCF_046529425.1	Pantoea allii
GCF_000233595.1	Pantoea ananatis PA13
GCF_026104315.1	Pantoea anthophila
GCF_038594305.1	Pantoea brenneri
GCF_016909495.1	Pantoea coffeiphila
GCF_002095315.1	Pantoea conspicua
GCF_002095535.1	Pantoea cypripedii
GCF_022647325.1	Pantoea deleyi
GCF_019890955.1	Pantoea dispersa
GCF_002858935.1	Pantoea endophytica
GCF_009646115.1	Pantoea eucalypti
GCF_020079945.1	Pantoea eucrina
GCF_048452665.1	Pantoea graminicola
GCF_002077695.1	Pantoea latae
GCF_028048155.1	Pantoea leporis
GCF_037479095.1	Pantoea nemavictus
GCF_044342975.1	Pantoea osteomyelitidis
GCF_051025615.1	Pantoea phosphatilytica
GCF_051025595.1	Pantoea phyllosphaerae
GCF_009728735.1	Pantoea phytobeneficialis
GCF_046118715.1	Pantoea phytostimulans
GCF_003612015.1	Pantoea piersonii
GCF_014156615.1	Pantoea pleuroti
GCF_002811195.1	Pantoea rodasii
GCF_002095475.1	Pantoea rwandensis
GCF_902386985.1	Pantoea septica
GCF_011044475.1	Pantoea stewartii
GCF_024506435.1	Pantoea trifolii
GCF_004792415.1	Pantoea vagans
GCF_002095485.1	Pantoea wallisii
