GCF_017353255.1	Fibrella aquatilis
GCF_017353175.1	Fibrella forsythiae
GCF_017353185.1	Fibrella rubiginis
GCF_000296815.2	Fibrisoma limi BUZ 3
GCF_003583365.1	Fibrisoma montanum
GCF_011742925.1	Fibrivirga algicola
GCF_900167415.1	Fibrobacter intestinalis
GCF_000146505.1	Fibrobacter succinogenes subsp. succinogenes S85
GCF_042432325.1	Fictibacillus aquaticus
GCF_001999465.1	Fictibacillus arsenicus
GCF_014635025.1	Fictibacillus barbaricus
GCF_900094955.1	Fictibacillus enclensis
GCF_030418125.1	Fictibacillus fluitans
GCF_000430745.1	Fictibacillus gelatini DSM 15865
GCF_016401385.1	Fictibacillus halophilus
GCF_042665465.1	Fictibacillus iocasae
GCF_000269865.1	Fictibacillus macauensis ZFHKF-1
GCF_023149135.1	Fictibacillus marinisediminis
GCF_042686385.1	Fictibacillus nanhaiensis
GCF_014836645.1	Fictibacillus norfolkensis
GCF_042432635.1	Fictibacillus phosphorivorans
GCF_900103485.1	Fictibacillus solisalsi
GCF_030412265.1	Fictibacillus terranigra
GCF_041154365.1	Fidelibacter multiformis
GCF_900609045.1	Filibacter tadaridae
GCF_000163895.2	Filifactor alocis ATCC 35896
GCF_042652965.1	Filifactor villosus
GCF_004118675.1	Filimonas effusa
GCF_002355595.1	Filimonas lacunae
GCF_014641615.1	Filimonas zeae
GCF_004402015.1	Filobacillus milosensis
GCF_900104305.1	Filomicrobium insigne
GCF_002197845.1	Fimbriiglobus ruber
GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348
GCF_046255015.1	Finegoldia dalianensis
GCF_002243135.1	Finegoldia magna
GCF_000317205.1	Fischerella muscicola PCC 7414
GCF_000317225.1	Fischerella thermalis PCC 7521
GCF_016918765.2	Flagellatimonas centrodinii
GCF_019457905.1	Flagellimonas abyssi
GCF_003584165.1	Flagellimonas aequoris
GCF_040513375.1	Flagellimonas algarum
GCF_005937185.1	Flagellimonas algicola
GCF_004296335.1	Flagellimonas allohymeniacidonis
GCF_004916895.1	Flagellimonas alvinocaridis
GCF_003058265.1	Flagellimonas amoyensis
GCF_013090115.1	Flagellimonas amphidinii
GCF_003149745.1	Flagellimonas aquimarina
GCF_017313785.1	Flagellimonas aurea
GCF_033441575.1	Flagellimonas baculiformis
GCF_003992615.1	Flagellimonas beolgyonensis
GCF_013376415.1	Flagellimonas chongwuensis
GCF_033441595.1	Flagellimonas crocea
GCF_001413955.1	Flagellimonas eckloniae
GCF_900129665.1	Flagellimonas flava
GCF_007785775.2	Flagellimonas hadalis
GCF_035818535.1	Flagellimonas halotolerans
GCF_008040165.1	Flagellimonas hymeniacidonis
GCF_042682725.1	Flagellimonas iocasae
GCF_000963865.1	Flagellimonas lutaonensis
GCF_003581615.1	Flagellimonas lutimaris
GCF_042651185.1	Flagellimonas marina
GCF_003992675.1	Flagellimonas marinaquae
GCF_003269425.1	Flagellimonas maritima
GCF_019880545.1	Flagellimonas meishanensis
GCF_003001695.1	Flagellimonas meridianipacifica
GCF_023502235.1	Flagellimonas myxillae
GCF_003382275.1	Flagellimonas nanhaiensis
GCF_003992595.1	Flagellimonas oceanensis
GCF_011068285.1	Flagellimonas oceani
GCF_009903685.1	Flagellimonas ochracea
GCF_029194005.1	Flagellimonas okinawensis
GCF_004150225.1	Flagellimonas olearia
GCF_004804315.1	Flagellimonas onchidii
GCF_900215465.1	Flagellimonas pacifica
GCF_003584135.1	Flagellimonas pelagia
GCF_017313275.1	Flagellimonas profundi
GCF_010500845.1	Flagellimonas sediminis
GCF_023502425.1	Flagellimonas spongiicola
GCF_003584105.1	Flagellimonas taeanensis
GCF_029193885.1	Flagellimonas yonaguniensis
GCF_900102925.1	Flagellimonas zhangzhouensis
GCF_012641475.1	Flammeovirga agarivorans
GCF_012844305.1	Flammeovirga aprica JL-4
GCF_018736065.1	Flammeovirga kamogawensis
GCF_000807855.2	Flammeovirga pacifica
GCF_003970675.1	Flammeovirga pectinis
GCF_018736045.1	Flammeovirga yaeyamensis
GCF_039541815.1	Flaviaesturariibacter amylovorans
GCF_004343705.1	Flaviaesturariibacter aridisoli
GCF_004337505.1	Flaviaesturariibacter flavus
GCF_009193215.1	Flavicella marina
GCF_006381105.1	Flavicella sediminum
GCF_042652085.1	Flaviflagellibacter deserti
GCF_003971195.1	Flaviflexus ciconiae
GCF_014069875.1	Flaviflexus equikiangi
GCF_014118685.1	Flaviflexus huanghaiensis
GCF_001375495.1	Flaviflexus massiliensis
GCF_003952265.1	Flaviflexus salsibiostraticola
GCF_022352215.1	Flavihumibacter cheonanensis
GCF_021491375.1	Flavihumibacter fluminis
GCF_018595675.2	Flavihumibacter fluvii
GCF_000974785.1	Flavihumibacter petaseus NBRC 106054
GCF_020076305.1	Flavihumibacter profundi
GCF_018595685.2	Flavihumibacter rivuli
GCF_000814475.1	Flavihumibacter solisilvae
GCF_014332695.1	Flavihumibacter stibioxidans
GCF_002646595.1	Flavilitoribacter nigricans DSM 23189 = NBRC 102662
GCF_019492055.1	Flavimaribacter sediminis
GCF_900184895.1	Flavimaricola marinus
GCF_900113055.1	Flavimobilis marinus
GCF_014852685.1	Flavimobilis rhizosphaerae
GCF_002564025.1	Flavimobilis soli
GCF_002954265.1	Flavipsychrobacter stenotrophus
GCF_039543205.1	Flaviramulus aquimarinus
GCF_900114265.1	Flaviramulus basaltis
GCF_021728415.1	Flaviramulus multivorans
GCF_900129295.1	Flavisolibacter ginsengisoli DSM 18119
GCF_007970805.1	Flavisolibacter ginsenosidimutans
GCF_003628535.1	Flavisolibacter nicotianae
GCF_001644645.1	Flavisolibacter tropicus
GCF_009755815.1	Flavisphingomonas formosensis
GCF_007995095.1	Flavisphingopyxis soli
GCF_030540775.2	Flavivirga abyssicola
GCF_012910715.1	Flavivirga algicola
GCF_030540875.1	Flavivirga amylovorans
GCF_001747085.1	Flavivirga aquatica
GCF_030540835.1	Flavivirga aquimarina
GCF_002886045.1	Flavivirga eckloniae
GCF_030540765.1	Flavivirga jejuensis
GCF_004791695.1	Flavivirga rizhaonensis
GCF_030540825.1	Flavivirga spongiicola
GCF_020911885.1	Flavobacterium acetivorans
GCF_003268855.1	Flavobacterium aciduliphilum
GCF_040045115.1	Flavobacterium adhaerens
GCF_030766725.1	Flavobacterium aerium
GCF_026870175.2	Flavobacterium aestivum
GCF_040049115.1	Flavobacterium aestuarii
GCF_013366395.1	Flavobacterium agri
GCF_025919725.1	Flavobacterium agricola
GCF_016522065.1	Flavobacterium agrisoli
GCF_010614725.1	Flavobacterium ajazii
GCF_001278115.1	Flavobacterium akiainvivens
GCF_003096035.1	Flavobacterium album
GCF_022399565.1	Flavobacterium algicola
GCF_048158655.1	Flavobacterium algoriphilum
GCF_048158525.1	Flavobacterium algoris
GCF_030010385.1	Flavobacterium algoritolerans
GCF_008000935.1	Flavobacterium alkalisoli
GCF_002920895.1	Flavobacterium alvei
GCF_020886115.1	Flavobacterium ammonificans
GCF_020886055.1	Flavobacterium ammoniigenes
GCF_004122165.1	Flavobacterium amnicola
GCF_023634845.1	Flavobacterium amniphilum
GCF_001705175.1	Flavobacterium anhuiense
GCF_021608185.1	Flavobacterium anseongense
GCF_000419685.1	Flavobacterium antarcticum DSM 19726
GCF_003254745.1	Flavobacterium aquariorum
GCF_003259835.1	Flavobacterium aquaticum
GCF_000757385.1	Flavobacterium aquatile LMG 4008 = ATCC 11947
GCF_003385115.1	Flavobacterium aquicola
GCF_002217195.1	Flavobacterium aquidurense
GCF_027111335.1	Flavobacterium aquiphilum
GCF_048158725.1	Flavobacterium arabinosi
GCF_003148525.1	Flavobacterium araucananum
GCF_003344925.1	Flavobacterium arcticum
GCF_033547075.1	Flavobacterium ardleyense
GCF_031456785.1	Flavobacterium arsenatis
GCF_042678225.1	Flavobacterium artemisiae
GCF_038289855.1	Flavobacterium arundinis
GCF_002251775.1	Flavobacterium aurantiibacter
GCF_038739835.1	Flavobacterium aureirubrum
GCF_027980145.1	Flavobacterium azizsancarii
GCF_023195775.1	Flavobacterium azooxidireducens
GCF_000769915.1	Flavobacterium beibuense F44-8
GCF_011305415.1	Flavobacterium bernardetii
GCF_024271895.1	Flavobacterium bizetiae
GCF_003970355.1	Flavobacterium bomense
