GCF_900116565.1	Thermoflavifilum thermophilum
GCF_003313465.1	Thermoflavimicrobium daqui
GCF_900114055.1	Thermoflavimicrobium dichotomicum
GCF_900113045.1	Thermoflexibacter ruber
GCF_900187885.1	Thermoflexus hugenholtzii JAD2
GCF_013694095.1	Thermogemmata fonticola
GCF_008974285.1	Thermogemmatispora aurantia
GCF_000702505.1	Thermogemmatispora carboxidivorans
GCF_001748285.1	Thermogemmatispora onikobensis
GCF_003268475.1	Thermogemmatispora tikiterensis
GCF_002277955.1	Thermogutta terrifontis
GCF_041153465.1	Thermohahella caldifontis
GCF_003609645.1	Thermohalobacter berrensis
GCF_023487995.1	Thermohalobaculum sediminis
GCF_016623495.1	Thermohalobaculum xanthum
GCF_900108055.1	Thermoleophilum album
GCF_032705245.1	Thermoleptolyngbya oregonensis NK1-22
GCF_013177315.1	Thermoleptolyngbya sichuanensis A183
GCF_004341205.1	Thermolongibacillus altinsuensis
GCF_000021685.1	Thermomicrobium roseum DSM 5159
GCF_022419205.1	Thermomonas alba
GCF_006337105.1	Thermomonas aquatica
GCF_020034655.1	Thermomonas beijingensis
GCF_014395425.1	Thermomonas brevis
GCF_014652775.1	Thermomonas carbonis
GCF_022419185.1	Thermomonas flagellata
GCF_005862345.1	Thermomonas fusca
GCF_004346265.1	Thermomonas haemolytica
GCF_900129205.1	Thermomonas hydrothermalis
GCF_028201335.1	Thermomonas mangrovi
GCF_024498955.1	Thermomonas paludicola
GCF_003589885.1	Thermomonospora amylolytica
GCF_006363815.1	Thermomonospora catenispora
GCF_014138835.1	Thermomonospora cellulosilytica
GCF_000024385.1	Thermomonospora curvata DSM 43183
GCF_900108175.1	Thermomonospora echinospora
GCF_003386555.1	Thermomonospora umbrina
GCF_011761635.1	Thermonema lapsum
GCF_000426825.1	Thermonema rossianum DSM 10300
GCF_000220155.1	Thermophagus xiamenensis
GCF_014982725.1	Thermophilibacter gallinarum
GCF_015277515.1	Thermophilibacter immobilis
GCF_900119385.1	Thermophilibacter mediterraneus
GCF_900128445.1	Thermophilibacter provencensis
GCF_006716785.1	Thermopolyspora flexuosa
GCF_000744775.1	Thermorudis peleae
GCF_008124715.1	Thermosediminibacter litoriperuensis
GCF_000144645.1	Thermosediminibacter oceani DSM 16646
GCF_000169155.1	Thermosinus carboxydivorans Nor1
GCF_001990485.1	Thermosipho affectus
GCF_000021285.1	Thermosipho africanus TCF52B
GCF_900129985.1	Thermosipho atlanticus DSM 15807
GCF_017358165.1	Thermosipho ferrireducens
GCF_003990895.1	Thermosipho globiformans
GCF_014201655.1	Thermosipho japonicus
GCF_000016905.1	Thermosipho melanesiensis BI429
GCF_023525255.1	Thermospira aquatica
GCF_005402645.1	Thermosporothrix hazakensis
GCF_900099985.1	Thermostaphylospora chromogena
GCF_022848905.1	Thermostichus vulcanus str. Rupite
GCF_001547735.1	Thermosulfidibacter takaii ABI70S6
GCF_001652585.1	Thermosulfurimonas dismutans
GCF_012317585.1	Thermosulfurimonas marina
GCF_011207455.1	Thermosulfuriphilus ammonigenes
GCF_003555505.1	Thermosynechococcus sichuanensis E542
GCF_000011345.1	Thermosynechococcus vestitus BP-1
GCF_900129805.1	Thermosyntropha lipolytica DSM 11003
GCF_001562415.1	Thermotalea metallivorans
GCF_000828655.1	Thermotoga caldifontis AZM44c09
GCF_000230655.2	Thermotoga maritima MSB8
GCF_000018945.1	Thermotoga neapolitana DSM 4359
