GCF_000427465.1	Sinorhizobium arboris LMG 14919
GCF_036488675.1	Sinorhizobium chiapasense
GCF_003177055.1	Sinorhizobium fredii CCBAU 25509
GCF_029892065.1	Sinorhizobium garamanticum
GCF_001651865.1	Sinorhizobium glycinis
GCF_017874595.1	Sinorhizobium kostiense
GCF_030064585.1	Sinorhizobium kummerowiae
GCF_007827695.1	Sinorhizobium medicae
GCF_037023865.1	Sinorhizobium meliloti
GCF_013488225.1	Sinorhizobium mexicanum
GCF_029892045.1	Sinorhizobium numidicum
GCF_013283645.1	Sinorhizobium psoraleae
GCF_001651875.1	Sinorhizobium saheli
GCF_002288525.1	Sinorhizobium sojae CCBAU 05684
GCF_029714365.1	Sinorhizobium terangae
GCF_900100605.1	Sinosporangium album
GCF_016863435.1	Sinosporangium siamense
GCF_900103285.1	Siphonobacter aquaeclarae
GCF_002943425.1	Siphonobacter curvatus
GCF_000936425.1	Skermanella aerolata KACC 11604
GCF_016653635.2	Skermanella cutis
GCF_016765655.2	Skermanella mucosa
GCF_008843145.1	Skermanella pratensis
GCF_016806835.2	Skermanella rosea
GCF_000576635.1	Skermanella stibiiresistens SB22
GCF_019285775.1	Skermania pinensis
GCF_003725995.1	Slackia equolifaciens
GCF_900450505.1	Slackia exigua
GCF_003725295.1	Slackia faecicanis
GCF_900637575.1	Slackia heliotrinireducens
GCF_014192995.1	Slackia isoflavoniconvertens
GCF_000296445.1	Slackia piriformis YIT 12062
GCF_000380645.1	Smaragdicoccus niigatensis DSM 44881 = NBRC 103563
GCF_947254785.1	Sneathia sanguinegens
GCF_000973085.1	Sneathia vaginalis
GCF_026409565.1	Sneathiella aquimaris
GCF_030159835.1	Sneathiella chinensis
GCF_009882935.1	Sneathiella chungangensis
GCF_000616095.1	Sneathiella glossodoripedis JCM 23214
GCF_012932565.1	Sneathiella limimaris
GCF_009882915.1	Sneathiella litorea
GCF_023746535.1	Sneathiella marina
GCF_017313765.1	Sneathiella sedimenti
GCF_000600005.1	Snodgrassella alvi wkB2
GCF_914768045.1	Snodgrassella communis
GCF_914768025.1	Snodgrassella gandavensis
GCF_039539345.1	Snuella lapsa
GCF_016428595.1	Snuella sedimenti
GCF_009846485.1	Sodalinema gerasimenkoae IPPAS B-353
GCF_009676955.1	Sodaliphilus pleomorphus
GCF_900161835.1	Sodalis endosymbiont_of_Henestaris halophilus
GCF_000010085.1	Sodalis glossinidius str. morsitans
GCF_004346745.1	Sodalis ligni
GCF_039646275.1	Sodalis praecaptivus subsp. spalangiae
GCF_001602625.1	Sodalis-like endosymbiont_of_Proechinophthirus fluctus
GCF_964059955.1	Sodalis-like secondary symbiont of Drepanosiphum platanoidis
GCF_004684055.1	Soehngenia longivitae
GCF_002021095.1	Solemya elarraichensis gill symbiont
GCF_002020875.1	Solemya pervernicosa gill symbiont
