GCF_039543045.1	Bartonella jaculi
GCF_040545385.1	Bartonella japonica
GCF_000706625.1	Bartonella koehlerae C-29
GCF_003606325.2	Bartonella kosoyi
GCF_003606345.3	Bartonella krasnovii
GCF_022559585.1	Bartonella machadoae
GCF_902150025.1	Bartonella massiliensis
GCF_900185775.1	Bartonella mastomydis
GCF_000278255.1	Bartonella melophagi K-2C
GCF_039543065.1	Bartonella pachyuromydis
GCF_902825145.1	Bartonella phoceensis
GCF_018155095.1	Bartonella queenslandensis
GCF_009936175.1	Bartonella quintana
GCF_019659805.1	Bartonella raoultii
GCF_000312565.1	Bartonella rattaustraliani AUST/NH4
GCF_000278215.1	Bartonella rattimassiliensis 15908
GCF_902652675.1	Bartonella refiksaydamii
GCF_000706645.1	Bartonella rochalimae ATCC BAA-1498
GCF_902162175.1	Bartonella saheliensis
GCF_039555305.1	Bartonella schoenbuchensis
GCF_000312545.1	Bartonella senegalensis OS02
GCF_040545155.1	Bartonella silvatica
GCF_000279995.1	Bartonella tamiae Th307
GCF_023920085.1	Bartonella taylorii
GCF_000196435.1	Bartonella tribocorum CIP 105476
GCF_900638635.1	Bartonella vinsonii
GCF_011455875.1	Basfia succiniciproducens
GCF_000743945.1	Basilea psittacipulmonis DSM 24701
GCF_001298715.1	Bathymodiolus azoricus thioautotrophic gill symbiont
GCF_900180345.1	Bathymodiolus heckerae thiotrophic gill symbiont
GCF_019721995.1	Bathymodiolus japonicus methanotrophic gill symbiont
GCF_002189065.1	Bathymodiolus platifrons methanotrophic gill symbiont
GCF_003711265.1	Bathymodiolus thermophilus thioautotrophic gill symbiont
GCF_900104485.1	Bauldia litoralis
GCF_000421665.1	Bavariicoccus seileri WCC 4188
GCF_000196175.1	Bdellovibrio bacteriovorus HD100
GCF_022814725.1	Bdellovibrio reynosensis
GCF_029531655.1	Bdellovibrio svalbardensis
GCF_900199405.1	Beduinella massiliensis
GCF_000829905.1	Beduini massiliensis
GCF_000245015.1	Beggiatoa alba B18LD
GCF_001305575.3	Beggiatoa leptomitoformis
GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039
GCF_000745425.1	Beijerinckia mobilis
GCF_022549785.1	Belliella alkalica
GCF_014637795.1	Belliella aquatica
GCF_000265405.1	Belliella baltica DSM 15883
GCF_900188245.1	Belliella buryatensis
GCF_022549695.1	Belliella calami
GCF_022549775.1	Belliella filtrata
GCF_030409495.1	Belliella kenyensis
GCF_042682445.1	Belliella marina
GCF_900156785.1	Belliella pelovolcani
GCF_001050215.2	Bellilinea caldifistulae
GCF_016773205.1	Belnapia arida
GCF_000745835.1	Belnapia moabensis DSM 16746
GCF_016775475.1	Belnapia mucosa
GCF_900101615.1	Belnapia rosea
GCF_039719005.1	Bengtsoniella intestinalis
GCF_037908215.1	Benzoatithermus flavus
GCF_047839125.1	Bergeriella denitrificans
GCF_009914665.1	Bergeyella cardium
GCF_042427575.1	Bergeyella porcorum
GCF_900445655.1	Bergeyella zoohelcum
GCF_012295615.1	Bermanella marisrubri
GCF_000265505.1	Bernardetia litoralis DSM 6794
GCF_000814825.1	Berryella intestinalis
GCF_013201155.1	Berryella wangjianweii
GCF_000023105.1	Beutenbergia cavernae DSM 12333
GCF_900101985.1	Bhargavaea beijingensis
GCF_000348905.1	Bhargavaea cecembensis DSE10
GCF_042665595.1	Bhargavaea changchunensis
GCF_900109165.1	Bhargavaea ginsengi
GCF_018390575.1	Bhargavaea massiliensis
GCF_042432615.1	Bhargavaea ullalensis
GCF_014384895.1	Bianquea renquensis
GCF_000521725.1	Bibersteinia trehalosi USDA-ARS-USMARC-188
GCF_001263395.1	Bifidobacterium actinocoloniiforme DSM 22766
GCF_000010425.1	Bifidobacterium adolescentis ATCC 15703
GCF_003315635.1	Bifidobacterium aemilianum
GCF_010667685.1	Bifidobacterium aerophilum
GCF_001417815.1	Bifidobacterium aesculapii
GCF_018555435.2	Bifidobacterium amazonense
GCF_001025155.1	Bifidobacterium angulatum DSM 20098 = JCM 7096
GCF_000022965.1	Bifidobacterium animalis subsp. lactis DSM 10140
GCF_002860345.1	Bifidobacterium anseris
GCF_042846865.1	Bifidobacterium apicola
GCF_036986835.1	Bifidobacterium apis
GCF_007559275.1	Bifidobacterium apousia
GCF_009299485.1	Bifidobacterium apri
GCF_002259795.1	Bifidobacterium aquikefiri
GCF_041080795.1	Bifidobacterium aquikefiricola
GCF_002715865.1	Bifidobacterium asteroides DSM 20089
GCF_009299475.1	Bifidobacterium avesanii
GCF_000771645.1	Bifidobacterium biavatii DSM 23969
GCF_017894325.1	Bifidobacterium bifidum
GCF_000741525.1	Bifidobacterium bohemicum DSM 22767
GCF_000771085.1	Bifidobacterium bombi DSM 19703
GCF_000741535.1	Bifidobacterium boum
GCF_001025175.1	Bifidobacterium breve DSM 20213 = JCM 1192
GCF_003952005.1	Bifidobacterium callimiconis
GCF_003129905.1	Bifidobacterium callitrichidarum
GCF_008698085.1	Bifidobacterium callitrichos
GCF_009727065.1	Bifidobacterium canis
GCF_003952025.1	Bifidobacterium castoris
GCF_001025195.1	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
GCF_003129925.1	Bifidobacterium catulorum
GCF_009193305.1	Bifidobacterium cebidarum
GCF_002761235.1	Bifidobacterium choerinum
GCF_016102005.1	Bifidobacterium choladohabitans
GCF_010667615.1	Bifidobacterium choloepi
GCF_018555455.1	Bifidobacterium colobi
GCF_900094885.1	Bifidobacterium commune
GCF_000737865.1	Bifidobacterium coryneforme
GCF_002286935.1	Bifidobacterium criceti
GCF_000738005.1	Bifidobacterium crudilactis
GCF_000741575.1	Bifidobacterium cuniculi
GCF_001042595.1	Bifidobacterium dentium JCM 1195 = DSM 20436
GCF_003951975.1	Bifidobacterium dolichotidis
GCF_012932675.1	Bifidobacterium erythrocebi
GCF_014898155.1	Bifidobacterium eulemuris
GCF_037963085.1	Bifidobacterium favimelis
GCF_002802915.1	Bifidobacterium felsineum
GCF_041080835.1	Bifidobacterium fermentum
GCF_000741205.1	Bifidobacterium gallicum DSM 20093 = LMG 11596
GCF_003951095.1	Bifidobacterium goeldii
GCF_002259755.1	Bifidobacterium hapali
GCF_040095915.1	Bifidobacterium hominis
GCF_017357045.1	Bifidobacterium imperatoris
GCF_036987015.1	Bifidobacterium indicum
GCF_002286915.1	Bifidobacterium italicum
GCF_009078285.1	Bifidobacterium jacchi
GCF_032193675.1	Bifidobacterium kimbladii
GCF_014898175.1	Bifidobacterium lemurum
GCF_009193355.1	Bifidobacterium leontopitheci
GCF_000196555.1	Bifidobacterium longum subsp. longum JCM 1217
GCF_000420565.1	Bifidobacterium magnum DSM 20222
GCF_002860355.1	Bifidobacterium margollesii
GCF_000967265.1	Bifidobacterium mellis
GCF_900129045.1	Bifidobacterium merycicum DSM 6492
GCF_019331735.1	Bifidobacterium miconis
GCF_019331675.1	Bifidobacterium miconisargentati
GCF_000421685.1	Bifidobacterium minimum DSM 20102
GCF_020884755.1	Bifidobacterium mizhiense
GCF_000771525.1	Bifidobacterium mongoliense DSM 21395
GCF_012932365.1	Bifidobacterium moraviense
GCF_005405645.1	Bifidobacterium moukalabense
GCF_002259745.1	Bifidobacterium myosotis
GCF_012932425.1	Bifidobacterium oedipodis
GCF_012932375.1	Bifidobacterium olomucense
GCF_012932445.1	Bifidobacterium panos
GCF_002860365.1	Bifidobacterium parmae
GCF_019331775.1	Bifidobacterium phasiani
GCF_010667645.1	Bifidobacterium platyrrhinorum
GCF_019331695.1	Bifidobacterium pluvialisilvae
GCF_016101585.1	Bifidobacterium polysaccharolyticum
GCF_019331805.1	Bifidobacterium pongonis
GCF_000771045.1	Bifidobacterium porcinum DSM 17755
GCF_002802875.1	Bifidobacterium primatium
GCF_001025215.1	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
GCF_002706665.1	Bifidobacterium pseudolongum subsp. globosum DSM 20092
GCF_002813205.1	Bifidobacterium psychraerophilum DSM 22366
GCF_039521285.1	Bifidobacterium pullorum
GCF_009299505.1	Bifidobacterium ramosum
GCF_000771685.1	Bifidobacterium reuteri DSM 23975
GCF_008698235.1	Bifidobacterium rousetti
GCF_000741365.1	Bifidobacterium ruminantium
GCF_017378515.1	Bifidobacterium saguini
GCF_019331725.1	Bifidobacterium saguinibicoloris
GCF_010667655.1	Bifidobacterium saimiriisciurei
GCF_003952945.1	Bifidobacterium samirii
GCF_018555385.1	Bifidobacterium santillanense
GCF_002802865.1	Bifidobacterium scaligerum
GCF_001042635.1	Bifidobacterium scardovii JCM 12489 = DSM 13734
GCF_002802905.1	Bifidobacterium simiarum
GCF_019331715.1	Bifidobacterium simiiventris
GCF_000741785.1	Bifidobacterium stellenboschense
GCF_014898195.1	Bifidobacterium subtile
GCF_000426425.1	Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837
GCF_002846655.1	Bifidobacterium thermophilum
GCF_009371875.1	Bifidobacterium tibiigranuli
GCF_002259645.1	Bifidobacterium tissieri
GCF_000771065.1	Bifidobacterium tsurumiense DSM 17777
GCF_002234915.1	Bifidobacterium vansinderenii
GCF_008698145.1	Bifidobacterium vespertilionis
GCF_003315615.1	Bifidobacterium xylocopae
GCF_030270605.1	Biformimicrobium ophioploci
GCF_009696005.1	Bilifractor porci
GCF_021404405.1	Billgrantia aerodenitrificans
GCF_019430905.1	Billgrantia antri
GCF_011742165.1	Billgrantia bachuensis
GCF_022341425.1	Billgrantia campisalis
GCF_900108215.1	Billgrantia desiderata
GCF_002879615.1	Billgrantia endophytica
GCF_021404305.1	Billgrantia ethanolica
GCF_900100195.1	Billgrantia gudaonensis
GCF_013697085.1	Billgrantia kenyensis
GCF_003254665.1	Billgrantia lactosivorans
GCF_003336675.1	Billgrantia montanilacus
GCF_008297955.1	Billgrantia pellis
GCF_002930105.1	Billgrantia saliphila
GCF_017868775.1	Billgrantia sulfidoxydans
GCF_009834345.1	Billgrantia tianxiuensis
GCF_021404465.1	Billgrantia zhangzhouensis
GCF_000185705.2	Bilophila wadsworthia 3_1_6
GCF_003691585.1	Biomaibacter acetigenes
GCF_004343195.1	Biostraticola tofi
GCF_007989625.1	Bisbaumannia pacifica
GCF_013377195.1	Bisgaardia hudsonensis
GCF_008086165.1	Bizionia algoritergicola
GCF_014638915.1	Bizionia arctica
GCF_000224335.1	Bizionia argentinensis JUB59
GCF_900115185.1	Bizionia echini
GCF_008086185.1	Bizionia gelidisalsuginis
GCF_042657385.1	Bizionia hallyeonensis
GCF_008086205.1	Bizionia myxarmorum
GCF_900107625.1	Bizionia paragorgiae
GCF_001039595.1	Bizionia psychrotolerans
GCF_008086175.1	Bizionia saleffrena
GCF_042684585.1	Bizionia sediminis
GCF_008630065.1	Blastochloris sulfoviridis
GCF_003966715.1	Blastochloris tepida
GCF_001402875.1	Blastochloris viridis
GCF_900221005.1	Blastococcus aggregatus
GCF_002938425.1	Blastococcus atacamensis
GCF_900102425.1	Blastococcus aurantiacus
GCF_035320885.1	Blastococcus brunescens
GCF_030165005.1	Blastococcus capsensis
GCF_030731085.1	Blastococcus carthaginiensis
GCF_006717095.1	Blastococcus colisei
GCF_042682525.1	Blastococcus deserti
GCF_031845325.1	Blastococcus goldschmidtiae
GCF_900230285.1	Blastococcus haudaquaticus
GCF_039534705.1	Blastococcus jejuensis
GCF_003075095.1	Blastococcus litoris
GCF_900188025.1	Blastococcus mobilis
GCF_039679125.1	Blastococcus montanus
GCF_004217455.1	Blastococcus saxobsidens
GCF_900112815.1	Blastococcus tunisiensis
GCF_008124835.1	Blastococcus xanthinilyticus
GCF_014639875.1	Blastomonas aquatica
GCF_003431825.1	Blastomonas fulva
GCF_034374265.1	Blastomonas marina
GCF_003201955.1	Blastomonas natatoria
GCF_000153105.1	Blastopirellula marina DSM 3645
GCF_007859755.1	Blastopirellula retiformator
GCF_020966755.1	Blastopirellula sediminis
GCF_003268615.1	Blattabacterium clevelandi
GCF_014251515.1	Blattabacterium cuenoti
GCF_003226695.1	Blattabacterium punctulatus
GCF_025566865.1	Blautia acetigignens
GCF_025566965.1	Blautia ammoniilytica
GCF_040096615.1	Blautia aquisgranensis
GCF_003287895.1	Blautia argi
GCF_040095955.1	Blautia caccae
GCF_024622975.1	Blautia caecimuris
GCF_014287615.1	Blautia celeris
GCF_014297245.1	Blautia difficilis
GCF_004123145.1	Blautia faecicola
GCF_020554845.1	Blautia faecis
GCF_020686995.1	Blautia fusiformis
GCF_013300845.1	Blautia glucerasea
GCF_002222595.2	Blautia hansenii DSM 20583
GCF_002270465.1	Blautia hominis
GCF_034356035.1	Blautia hydrogenotrophica DSM 10507
GCF_014297355.1	Blautia intestinalis
GCF_040096655.1	Blautia intestinihominis
GCF_015159595.1	Blautia liquoris
GCF_033096465.1	Blautia luti
GCF_900258535.1	Blautia marasmi
GCF_025147765.1	Blautia obeum ATCC 29174
GCF_020215665.1	Blautia parvula
GCF_010669205.1	Blautia producta ATCC 27340 = DSM 2950
GCF_001689125.2	Blautia pseudococcoides
