GCF_012939995.1	Candidatus Competibacter phosphatis
GCF_000531125.1	Candidatus Contendobacter odensis Run_B_J11
GCF_022558445.1	Candidatus Contubernalis alkaliaceticus
GCF_052264515.1	Candidatus Corynebacterium faecigallinarum
GCF_001077715.1	Candidatus Coxiella mudrowiae
GCF_000750955.1	Candidatus Criblamydia sequanensis CRIB-18
GCF_003570935.1	Candidatus Cryosericum odellii
GCF_964275155.1	Candidatus Curculioniphilus buchneri endosymbiont_of_Curculio glandium
GCF_034470605.1	Candidatus Cyrtobacter comes
GCF_008189285.1	Candidatus Cytomitobacter indipagum
GCF_951805245.1	Candidatus Cytomitobacter primus
GCF_014736495.1	Candidatus Dactylopiibacterium carminicum
GCF_037094495.1	Candidatus Dehalogenimonas loeffleri
GCF_007993655.1	Candidatus Deianiraea vastatrix
GCF_001577525.1	Candidatus Desulfofervidus auxilii
GCF_003932015.1	Candidatus Desulforudis audaxviator
GCF_030954495.1	Candidatus Desulfosporosinus nitrosoreducens
GCF_002355955.1	Candidatus Desulfovibrio trichonymphae
GCF_900039485.1	Candidatus Doolittlea endobia
GCF_000319385.1	Candidatus Endolissoclinum faulkneri L2
GCF_002355835.1	Candidatus Endomicrobiellum trichonymphae
GCF_023733635.1	Candidatus Endoriftia persephonae
GCF_964026585.1	Candidatus Endowatersipora endosymbiont_of_Watersipora subatra
GCF_002140975.2	Candidatus Enterococcus clewellii
GCF_017315945.1	Candidatus Enterococcus courvalinii
GCF_002174455.2	Candidatus Enterococcus dunnyi
GCF_017377655.2	Candidatus Enterococcus ferrettii
GCF_009933175.1	Candidatus Enterococcus huntleyi
GCF_017316105.1	Candidatus Enterococcus ikei
GCF_002148425.2	Candidatus Enterococcus lemimoniae
GCF_017426705.2	Candidatus Enterococcus lowellii
GCF_017316305.2	Candidatus Enterococcus mangumiae
GCF_002140715.2	Candidatus Enterococcus mansonii
GCF_017377575.1	Candidatus Enterococcus moelleringii
GCF_017315985.1	Candidatus Enterococcus murrayae
GCF_002141365.2	Candidatus Enterococcus palustris
GCF_002140915.1	Candidatus Enterococcus testudinis
GCF_009933335.1	Candidatus Enterococcus willemsii
GCF_002140175.1	Candidatus Enterococcus wittei
GCF_002381345.1	Candidatus Enterovibrio altilux
GCF_002464935.1	Candidatus Enterovibrio escicola
GCF_030708075.1	Candidatus Epulonipiscium viviparus
GCF_001756855.1	Candidatus Erwinia dacicola
GCF_900698925.1	Candidatus Erwinia haradaeae
GCF_004210305.1	Candidatus Finniella inopinata
GCF_034359305.1	Candidatus Fokinia crypta
GCF_003072485.1	Candidatus Fokinia solitaria
GCF_002688585.1	Candidatus Fonsibacter ubiquis
GCF_002777255.1	Candidatus Formimonas warabiya
GCF_000764555.1	Candidatus Francisella endociliophora
GCF_902806485.1	Candidatus Frankia alpina
GCF_902812705.1	Candidatus Frankia nodulisporulans
GCF_964030615.1	Candidatus Fukatsuia endosymbiont_of_Drepanosiphum platanoidis
GCF_964030845.1	Candidatus Fukatsuia endosymbiont_of_Tuberolachnus salignus
GCF_035013225.1	Candidatus Fukatsuia symbiotica
GCF_008830185.1	Candidatus Galacturonatibacter soehngenii
GCF_020541285.1	Candidatus Gillettellia adelgis
GCF_000227585.1	Candidatus Glomeribacter gigasporarum BEG34
GCF_021065005.1	Candidatus Gromoviella agglomerans
GCF_900048035.1	Candidatus Gullanella endobia
GCF_013282035.1	Candidatus Hakubella thermalkaliphila
GCF_029867005.1	Candidatus Haliotispira prima
GCF_003333265.1	Candidatus Halocynthiibacter alkanivorans
GCF_000021705.1	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)
GCF_020541205.1	Candidatus Hartigia pinicola
GCF_000742475.1	Candidatus Hepatobacter penaei
GCF_000582535.1	Candidatus Hepatoplasma crinochetorum Av
GCF_900044015.1	Candidatus Hoaglandella endobia
GCF_002774925.1	Candidatus Hodgkinia cicadicola
GCF_021654655.1	Candidatus Hydrogenosomobacter endosymbioticus
GCF_001460935.1	Candidatus Ichthyocystis hellenicum
GCF_900078725.1	Candidatus Ichthyocystis sparus
GCF_000828515.1	Candidatus Ishikawaella capsulata Mpkobe
GCF_000815465.1	Candidatus Jidaibacter acanthamoebae
GCF_020084865.1	Candidatus Kaistella beijingensis
GCF_001447915.1	Candidatus Karelsulcia muelleri
GCF_000319245.1	Candidatus Kinetoplastidibacterium blastocrithidiae (ex Strigomonas culicis)
GCF_000340825.1	Candidatus Kinetoplastidibacterium crithidiae TCC036E
GCF_000340795.1	Candidatus Kinetoplastidibacterium desouzai TCC079E
GCF_000340905.1	Candidatus Kinetoplastidibacterium galati TCC219
GCF_003072465.1	Candidatus Kinetoplastidibacterium kentomonadis
GCF_000340865.1	Candidatus Kinetoplastidibacterium stringomonadis TCC290E
GCF_025736875.1	Candidatus Kirkpatrickella diaphorinae
GCF_000014005.1	Candidatus Koribacter versatilis Ellin345
GCF_001458555.1	Candidatus Kryptobacter tengchongensis
GCF_001535985.1	Candidatus Kryptonium thompsonii
GCF_011066545.1	Candidatus Kuenenia stuttgartensis
GCF_964019805.1	Candidatus Lariskella endosymbiont_of_Epinotia ramella
GCF_964020185.1	Candidatus Lariskella endosymbiont_of_Hedychridium roseum
GCF_010367455.1	Candidatus Laterigemmans baculatus
GCF_002776555.1	Candidatus Legionella polyplacis
GCF_001021085.1	Candidatus Liberibacter africanus PTSAPSY
GCF_000496595.1	Candidatus Liberibacter americanus str. Sao Paulo
GCF_000590865.3	Candidatus Liberibacter asiaticus
GCF_036858155.1	Candidatus Liberibacter brunswickensis
GCF_000183665.1	Candidatus Liberibacter solanacearum CLso-ZC1
GCF_026262625.1	Candidatus Litorirhabdus singularis
GCF_029593895.1	Candidatus Lucifugimonas marina
GCF_004684205.1	Candidatus Macondimonas diazotrophica
GCF_004217665.1	Candidatus Magnetaquicoccus inordinatus
GCF_045865675.1	Candidatus Magnetaquiglobus chichijimensis
GCF_000714715.1	Candidatus Magnetobacterium casense
GCF_046044395.1	Candidatus Magnetominusculus dajiuhuensis
GCF_001541255.1	Candidatus Magnetominusculus xianensis
GCF_004376055.1	Candidatus Magnetomonas plexicatena
GCF_012184425.1	Candidatus Manganitrophus noduliformans
GCF_026262645.1	Candidatus Marimicrobium litorale
GCF_004116335.1	Candidatus Marinarcus aquaticus
GCF_029982035.1	Candidatus Megaera polyxenophila
GCF_034554655.1	Candidatus Megaera venefica
GCF_964019585.1	Candidatus Mesenet endosymbiont_of_Agriotes lineatus
GCF_964020175.1	Candidatus Mesenet endosymbiont_of_Phosphuga atrata
GCF_949774925.1	Candidatus Methylacidiphilum fumarolicum
GCF_905250085.1	Candidatus Methylacidithermus pantelleriae
GCF_902806695.1	Candidatus Methylobacter favarea
GCF_003994235.2	Candidatus Methylobacter oryzae
GCF_964023245.1	Candidatus Methylocalor cossyra
GCF_016745425.1	Candidatus Methylomicrobium oryzae
GCF_003044035.1	Candidatus Methylomirabilis limnetica
GCF_965183975.1	Candidatus Methylopumilus planktonicus
GCF_006364615.1	Candidatus Methylopumilus rimovensis
GCF_000953015.1	Candidatus Methylopumilus turicensis
GCF_006363895.1	Candidatus Methylopumilus universalis
GCF_009498235.1	Candidatus Methylospira mobilis
GCF_000469155.1	Candidatus Micropelagius thuwalensis
GCF_000219355.1	Candidatus Midichloria mitochondrii IricVA
GCF_900048045.1	Candidatus Mikella endobia
