GCF_900142105.1	Lutispora thermophila DSM 19022
GCF_900604355.1	Luxibacter massiliensis
GCF_037201985.1	Lwoffella lincolnii
GCF_000478195.2	Lyngbya aestuarii BL J
GCF_000817775.3	Lyngbya confervoides BDU141951
GCF_016638705.1	Lysinibacillus agricola
GCF_014643595.1	Lysinibacillus alkalisoli
GCF_003977595.1	Lysinibacillus antri
GCF_002200915.1	Lysinibacillus boronitolerans JCM 21713 = 10a = NBRC 103108
GCF_020217405.1	Lysinibacillus capsici
GCF_009724685.1	Lysinibacillus cavernae
GCF_003856865.1	Lysinibacillus composti
GCF_001278945.1	Lysinibacillus contaminans
GCF_000724775.3	Lysinibacillus fusiformis
GCF_003711845.1	Lysinibacillus halotolerans
GCF_028877475.1	Lysinibacillus irui
GCF_033880585.1	Lysinibacillus louembei
GCF_016026755.1	Lysinibacillus macroides
GCF_003049665.1	Lysinibacillus mangiferihumi
GCF_001591965.1	Lysinibacillus odysseyi 34hs-1 = NBRC 100172
GCF_030123245.1	Lysinibacillus pakistanensis
GCF_003049605.2	Lysinibacillus parviboronicapiens
GCF_024753545.1	Lysinibacillus pinottii
GCF_026012395.1	Lysinibacillus piscis
GCF_002982115.1	Lysinibacillus sphaericus
GCF_005217585.1	Lysinibacillus tabacifolii
GCF_039654155.1	Lysinibacillus telephonicus
GCF_900291985.1	Lysinibacillus timonensis
GCF_000600105.1	Lysinibacillus varians
GCF_001183605.1	Lysinibacillus xylanilyticus
GCF_040183165.1	Lysinibacillus zambalensis
GCF_011758565.1	Lysinibacter cavernae
GCF_042655435.1	Lysinimonas soli
GCF_001442745.1	Lysobacter antibioticus
GCF_016613475.2	Lysobacter arenosi
GCF_000768335.1	Lysobacter arseniciresistens ZS79
GCF_031216755.1	Lysobacter arvi
GCF_027924565.1	Lysobacter auxotrophicus
GCF_042677005.1	Lysobacter brunescens
GCF_014779555.2	Lysobacter capsici
GCF_042648505.1	Lysobacter cavernae
GCF_017308985.1	Lysobacter changpingensis
GCF_000768345.1	Lysobacter concretionis Ko07 = DSM 16239
GCF_000768355.1	Lysobacter daejeonensis GH1-9
GCF_000423325.1	Lysobacter defluvii IMMIB APB-9 = DSM 18482
GCF_000770795.1	Lysobacter dokdonensis DS-58
GCF_002355975.1	Lysobacter enzymogenes
GCF_040687735.1	Lysobacter firmicutimachus
GCF_001442805.1	Lysobacter gummosus
GCF_039543145.1	Lysobacter hankyongensis
GCF_018406645.1	Lysobacter helvus
GCF_042677045.1	Lysobacter koreensis
GCF_042434515.1	Lysobacter korlensis
GCF_015453285.1	Lysobacter niastensis
GCF_009765165.1	Lysobacter panacisoli
GCF_003382365.1	Lysobacter silvisoli
GCF_009755585.1	Lysobacter soli
GCF_019551435.1	Lysobacter soyae
GCF_900167055.1	Lysobacter spongiicola DSM 21749
GCF_030053425.1	Lysobacter stagni
GCF_031199375.1	Lysobacter yananisis
GCF_042655745.1	Lysobacter yangpyeongensis
GCF_046638635.1	Lysobacter zhanggongensis
GCF_034471385.1	Lyticum sinuosum
GCF_040096355.1	Maccoyibacter intestinihominis
GCF_013409575.1	Macellibacteroides fermentans
GCF_016865215.1	Macrococcoides bohemicum
GCF_002119805.1	Macrococcoides canis
GCF_016028795.1	Macrococcoides caseolyticum
GCF_002742385.2	Macrococcoides goetzii
GCF_020097135.1	Macrococcus armenti
GCF_030376725.1	Macrococcus bovicus
GCF_022343725.1	Macrococcus brunensis
GCF_025628935.1	Macrococcus capreoli
GCF_004359515.1	Macrococcus carouselicus
GCF_024205965.1	Macrococcus epidermidis
GCF_024205945.1	Macrococcus equipercicus
GCF_014634985.1	Macrococcus hajekii
GCF_004359545.1	Macrococcus lamae
GCF_038095555.1	Macrococcus psychrotolerans
GCF_002837135.1	Macromonas bipunctata
GCF_002837145.1	Macromonas nakdongensis
GCF_000025225.2	Mageeibacillus indolicus UPII9-5
GCF_000014865.1	Magnetococcus marinus MC-1
GCF_002109495.1	Magnetofaba australis IT-1
GCF_011022235.1	Magnetospirillum aberrantis SpK
GCF_900108475.1	Magnetospirillum fulvum
GCF_000513295.1	Magnetospirillum gryphiswaldense MSR-1 v2
GCF_000294655.1	Magnetospirillum molischianum DSM 120
GCF_001650635.1	Magnetospirillum moscoviense
GCF_018224925.1	Magnetospirillum sulfuroxidans
GCF_001746755.1	Magnetovibrio blakemorei
GCF_009497875.2	Magnetovirga frankeli
GCF_000213255.1	Mahella australiensis 50-1 BON
GCF_900155525.1	Mailhella massiliensis
GCF_007747795.1	Maioricimonas rarisocia
GCF_008000835.1	Malaciobacter canalis
GCF_003346755.1	Malaciobacter halophilus
GCF_003544855.1	Malaciobacter marinus
GCF_003544935.1	Malaciobacter molluscorum LMG 25693
GCF_003346775.1	Malaciobacter mytili LMG 24559
GCF_004214795.1	Malaciobacter pacificus
GCF_900660615.1	Malacoplasma iowae
GCF_046774425.1	Malacoplasma muris
GCF_000011225.1	Malacoplasma penetrans HF-2
GCF_900167445.1	Maledivibacter halophilus
GCF_002980595.1	Malikia granosa
GCF_002980625.1	Malikia spinosa
GCF_900184945.1	Maliponia aquimaris
GCF_900142125.1	Malonomonas rubra DSM 5091
GCF_002211225.1	Mameliella alba
