GCF_009939295.1	Petrachloros mirabilis ULC683
GCF_004793545.1	Petralouisia muris
GCF_900095795.1	Petrimonas mucosa
GCF_051201015.1	Petrimonas sulfuriphila
GCF_900538275.1	Petrocella atlantisensis
GCF_002252565.1	Petroclostridium xylanilyticum
GCF_013408985.1	Petropleomorpha daqingensis
GCF_002924615.1	Petrotoga halophila DSM 16923
GCF_002895565.1	Petrotoga mexicana DSM 14811
GCF_002895605.1	Petrotoga miotherma DSM 10691
GCF_000018605.1	Petrotoga mobilis SJ95
GCF_002895525.1	Petrotoga olearia DSM 13574
GCF_002924625.1	Petrotoga sibirica DSM 13575
GCF_000744815.1	Phaeacidiphilus oryzae TH49
GCF_000511385.1	Phaeobacter gallaeciensis DSM 26640
GCF_002892185.1	Phaeobacter inhibens
GCF_019801785.1	Phaeobacter italicus
GCF_007923355.1	Phaeobacter marinintestinus
GCF_000826835.2	Phaeobacter piscinae
GCF_001888185.1	Phaeobacter porticola
GCF_008933115.1	Phaeocystidibacter luteus
GCF_008933165.1	Phaeocystidibacter marisrubri
GCF_007993045.1	Phaeodactylibacter luteus
GCF_000759025.1	Phaeodactylibacter xiamenensis
GCF_042683125.1	Phaeospirillum tilakii
GCF_014861485.1	Phaeovibrio sulfidiphilus
GCF_004363195.1	Phaeovulum veldkampii DSM 11550
GCF_900217755.1	Phaeovulum vinaykumarii
GCF_003945365.1	Phascolarctobacterium faecium
GCF_023497905.1	Phascolarctobacterium succinatutens
GCF_022695515.1	Phenylobacterium aquaticum
GCF_042679085.1	Phenylobacterium conjunctum
GCF_003254705.1	Phenylobacterium deserti
GCF_042714595.1	Phenylobacterium ferrooxidans
GCF_016772415.1	Phenylobacterium glaciei
GCF_014196295.1	Phenylobacterium haematophilum
GCF_003254505.1	Phenylobacterium hankyongense
GCF_001375595.1	Phenylobacterium immobile (ATCC 35973)
GCF_040545335.1	Phenylobacterium koreense
GCF_003254525.1	Phenylobacterium kunshanense
GCF_018135625.1	Phenylobacterium montanum
GCF_003150835.1	Phenylobacterium parvum
GCF_003254475.1	Phenylobacterium soli
GCF_042681205.1	Phenylobacterium terrae
GCF_000017265.1	Phenylobacterium zucineum HLK1
GCF_027923585.1	Philodulcilactobacillus myokoensis
GCF_009740285.1	Phnomibacter ginsenosidimutans
GCF_000312445.1	Phocaeicola abscessus CCUG 55929
GCF_027529745.1	Phocaeicola acetigenes
GCF_000374585.1	Phocaeicola barnesiae DSM 18169 = JCM 13652
GCF_027688575.1	Phocaeicola coprocola
GCF_016888945.1	Phocaeicola coprophilus
GCF_013009555.1	Phocaeicola dorei
GCF_021730445.1	Phocaeicola faecalis
GCF_013618865.1	Phocaeicola faecicola
GCF_014837055.1	Phocaeicola faecium
GCF_025567125.1	Phocaeicola fibrisolvens
GCF_014837065.1	Phocaeicola intestinalis
GCF_000382445.1	Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
GCF_021295095.1	Phocaeicola oris
GCF_036840555.1	Phocaeicola paurosaccharolyticus
GCF_000187895.1	Phocaeicola plebeius DSM 17135
GCF_000190575.1	Phocaeicola salanitronis DSM 18170
GCF_013358205.1	Phocaeicola sartorii
GCF_000012825.1	Phocaeicola vulgatus ATCC 8482
GCF_903994035.1	Phocicoccus pinnipedialis
GCF_014635565.1	Phocicoccus schoeneichii
GCF_030764225.1	Phocoenobacter atlanticus subsp. atlanticus
GCF_013377295.1	Phocoenobacter skyensis
GCF_900454895.1	Phocoenobacter uteri
GCF_900169485.1	Phoenicibacter congonensis
GCF_004339575.1	Phorcysia thermohydrogeniphila
GCF_003003695.1	Phormidesmis priestleyi ULC007
GCF_017313335.1	Phormidium pseudopriestleyi FRX01
GCF_001904775.1	Phormidium tenue NIES-30
GCF_023983615.1	Phormidium yuhuli AB48
GCF_019008365.1	Phosphitispora fastidiosa
GCF_009910675.1	Photobacterium alginatilyticum
GCF_900185625.1	Photobacterium andalusiense
GCF_003026895.1	Photobacterium angustum
GCF_001029435.1	Photobacterium aphoticum
GCF_001029445.1	Photobacterium aquae
GCF_002954455.1	Photobacterium aquimaris
GCF_014841115.1	Photobacterium arenosum
GCF_024380015.1	Photobacterium atrarenae
GCF_021236965.1	Photobacterium carnosum
GCF_004104355.1	Photobacterium chitinilyticum
GCF_038086725.1	Photobacterium damselae subsp. damselae
GCF_003025615.1	Photobacterium frigidiphilum
GCF_003025515.1	Photobacterium gaetbulicola
GCF_023653475.1	Photobacterium galatheae
GCF_017329545.1	Photobacterium ganghwense
GCF_000425165.1	Photobacterium halotolerans DSM 18316
GCF_003026395.1	Photobacterium iliopiscarium
