GCF_033723955.1	Microbulbifer pacificus
GCF_014191725.1	Microbulbifer rhizosphaerae
GCF_017303155.1	Microbulbifer salipaludis
GCF_021729035.1	Microbulbifer sediminum
GCF_030440425.1	Microbulbifer spongiae
GCF_014904815.1	Microbulbifer taiwanensis
GCF_001617625.1	Microbulbifer thermotolerans
GCF_000380565.1	Microbulbifer variabilis ATCC 700307
GCF_048323715.1	Microbulbifer weihaiensis
GCF_900100355.1	Microbulbifer yueqingensis
GCF_021729055.1	Microbulbifer zhoushanensis
GCF_014137945.1	Microcella alkalica
GCF_004216855.1	Microcella alkaliphila
GCF_026625045.1	Microcella daejeonensis
GCF_012530535.1	Microcella flavibacter
GCF_014200395.1	Microcella frigidaquae
GCF_024362325.1	Microcella humidisoli
GCF_013414345.1	Microcella indica
GCF_009371975.2	Microcella pacifica
GCF_004216575.1	Microcella putealis
GCF_042434215.1	Micrococcoides hystricis
GCF_022664405.1	Micrococcus aloeverae
GCF_044872765.1	Micrococcus antarcticus
GCF_014205175.1	Micrococcus cohnii
GCF_014205115.1	Micrococcus endophyticus
GCF_014204815.1	Micrococcus flavus
GCF_023155805.1	Micrococcus lacusdianchii
GCF_900475555.1	Micrococcus luteus NCTC 2665
GCF_900163825.1	Micrococcus lylae
GCF_020097155.1	Micrococcus porci
GCF_900116905.1	Micrococcus terreus
GCF_014138885.1	Micrococcus yunnanensis
GCF_042465725.1	Microcoleus anatoxicus
GCF_013179805.1	Microcoleus asticus IPMA8
GCF_022701275.1	Microcoleus vaginatus PCC 9802
GCF_031846265.1	Microcosmobacter mediterraneus
GCF_001578075.1	Microcystis aeruginosa NIES-88
GCF_014698375.1	Microcystis flos-aquae FACHB-1344
GCF_050500245.1	Microcystis ichthyoblabe FBCC-A1114
GCF_050500235.1	Microcystis protocystis FBCC-A270
GCF_014698335.1	Microcystis viridis FACHB-1342
GCF_032027425.1	Microcystis wesenbergii NRERC-220
GCF_014193425.1	Microlunatus antarcticus
GCF_039536605.1	Microlunatus aurantiacus
GCF_017876495.1	Microlunatus capsulatus
GCF_007362775.1	Microlunatus elymi
GCF_014646195.1	Microlunatus endophyticus
GCF_900110855.1	Microlunatus flavus
GCF_039537205.1	Microlunatus ginsengisoli
GCF_014137855.1	Microlunatus kandeliicorticis
GCF_016907535.1	Microlunatus panaciterrae
GCF_013407955.1	Microlunatus parietis
GCF_000270245.1	Microlunatus phosphovorus NM-1
GCF_900105785.1	Microlunatus sagamiharensis
GCF_900105385.1	Microlunatus soli
GCF_009299835.1	Microlunatus speluncae
GCF_039536445.1	Microlunatus spumicola
GCF_003172955.1	Micromonospora acroterricola
GCF_022230925.1	Micromonospora alfalfae
GCF_016863495.1	Micromonospora andamanensis
GCF_017599305.1	Micromonospora antibiotica
GCF_003205615.1	Micromonospora arborensis
GCF_042873195.1	Micromonospora arida
GCF_000145235.1	Micromonospora aurantiaca ATCC 27029
GCF_900089595.1	Micromonospora auratinigra
GCF_900156065.1	Micromonospora avicenniae
GCF_022230955.1	Micromonospora cabrerizensis
GCF_013389765.1	Micromonospora carbonacea subsp. aurantiaca
GCF_028993575.1	Micromonospora cathayae
GCF_900091435.1	Micromonospora chaiyaphumensis
GCF_028768405.1	Micromonospora chalcea
GCF_900091475.1	Micromonospora chersina
GCF_900091505.1	Micromonospora chokoriensis
GCF_900090315.1	Micromonospora citrea
GCF_016598485.1	Micromonospora coerulea
GCF_900091455.1	Micromonospora coriariae
GCF_003626655.1	Micromonospora costi
GCF_900090295.1	Micromonospora coxensis
GCF_014764405.1	Micromonospora craniellae
GCF_003236315.1	Micromonospora craterilacus
GCF_900143515.1	Micromonospora cremea
GCF_003236335.1	Micromonospora deserti
GCF_900090225.1	Micromonospora eburnea
GCF_900090235.1	Micromonospora echinaurantiaca
GCF_900091445.1	Micromonospora echinofusca
GCF_014203425.1	Micromonospora echinospora
GCF_007994185.1	Micromonospora endolithica
GCF_003581605.1	Micromonospora endophytica
GCF_016774385.1	Micromonospora fiedleri
GCF_050410825.1	Micromonospora fluostatini
GCF_022229015.1	Micromonospora foliorum
GCF_014648395.1	Micromonospora fulviviridis
GCF_016863515.1	Micromonospora gifhornensis
GCF_036184225.1	Micromonospora globbae
GCF_003857015.1	Micromonospora globispora
GCF_000876225.1	Micromonospora haikouensis
GCF_900090245.1	Micromonospora halophytica
GCF_032108445.1	Micromonospora halotolerans
GCF_045348645.1	Micromonospora harpali
GCF_022230935.1	Micromonospora hortensis
GCF_900090105.1	Micromonospora humi
GCF_016901255.1	Micromonospora humida
GCF_016900955.1	Micromonospora humidisoli
GCF_003857055.1	Micromonospora inaquosa
GCF_900090285.1	Micromonospora inositola
GCF_900091415.1	Micromonospora inyonensis
GCF_013410645.1	Micromonospora jinlongensis
GCF_004217615.1	Micromonospora kangleipakensis
GCF_900091425.1	Micromonospora krabiensis
GCF_036902735.1	Micromonospora lacuserhaii
GCF_000297395.2	Micromonospora lupini str. Lupac 08
GCF_016863535.1	Micromonospora lutea
GCF_016907275.1	Micromonospora luteifusca
GCF_042650825.1	Micromonospora mangrovi
GCF_047200535.1	Micromonospora mangrovicola
GCF_900091565.1	Micromonospora marina
GCF_000204155.1	Micromonospora maris AB-18-032
GCF_039538865.1	Micromonospora maritima
GCF_050951065.1	Micromonospora matsumotoense
GCF_900091555.1	Micromonospora mirobrigensis
GCF_003626545.1	Micromonospora musae
GCF_900089605.1	Micromonospora narathiwatensis
GCF_900091585.1	Micromonospora nigra
GCF_003264475.1	Micromonospora noduli
GCF_020884795.1	Micromonospora okii
GCF_007830265.1	Micromonospora olivasterospora
GCF_006228125.1	Micromonospora orduensis
GCF_900090325.1	Micromonospora pallida
GCF_007829925.1	Micromonospora palomenae
GCF_036689795.1	Micromonospora palythoicola
GCF_016802865.1	Micromonospora parastrephiae
GCF_014646315.1	Micromonospora parathelypteridis
GCF_040649675.1	Micromonospora parva
GCF_900107255.1	Micromonospora pattaloongensis
GCF_900091625.1	Micromonospora peucetia
GCF_900109115.1	Micromonospora phaseoli
GCF_023656545.1	Micromonospora phytophila
GCF_003633685.1	Micromonospora pisi
GCF_014203835.1	Micromonospora polyrhachis
GCF_011927785.1	Micromonospora profundi
GCF_050465265.1	Micromonospora provocatoris
GCF_036902725.1	Micromonospora psammae
