GCF_000519125.1	Desulfocurvus vexinensis DSM 17965
GCF_000711975.1	Desulfofalx alkaliphila DSM 12257
GCF_000024205.1	Desulfofarcimen acetoxidans DSM 771
GCF_022603395.1	Desulfoferrobacter suflitae
GCF_037076455.1	Desulfoferula mesophila
GCF_900129285.1	Desulfofundulus australicus DSM 11792
GCF_000214705.1	Desulfofundulus kuznetsovii DSM 6115
GCF_030813795.1	Desulfofundulus luciae
GCF_003627965.1	Desulfofundulus salinus
GCF_009428905.1	Desulfofundulus thermobenzoicus
GCF_000686645.1	Desulfofundulus thermocisternus DSM 10259
GCF_900142025.1	Desulfofundulus thermosubterraneus DSM 16057
GCF_900130015.1	Desulfofustis glycolicus DSM 9705
GCF_023169885.1	Desulfofustis limnaeus
GCF_005377625.1	Desulfoglaeba alkanexedens ALDC
GCF_000429945.1	Desulfogranum japonicum DSM 18378
GCF_963675105.2	Desulfogranum marinum
GCF_000429965.1	Desulfogranum mediterraneum DSM 13871
GCF_000024325.1	Desulfohalobium retbaense DSM 5692
GCF_000711295.1	Desulfohalovibrio reitneri
GCF_025998535.1	Desulfolithobacter dissulfuricans
GCF_001592105.1	Desulfolucanica intricata
GCF_900699765.1	Desulfoluna butyratoxydans
GCF_021654575.1	Desulfoluna limicola
GCF_902498735.1	Desulfoluna spongiiphila
GCF_013376455.1	Desulfolutivibrio sulfodismutans DSM 3696
GCF_013376475.1	Desulfolutivibrio sulfoxidireducens
GCF_019703855.1	Desulfomarina profundi
GCF_900114115.1	Desulfomicrobium apsheronum
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028
GCF_000428825.1	Desulfomicrobium escambiense DSM 10707
GCF_014873765.1	Desulfomicrobium macestii
GCF_900114595.1	Desulfomicrobium norvegicum
GCF_001553625.1	Desulfomicrobium orale DSM 12838
GCF_000266945.1	Desulfomonile tiedjei DSM 6799
GCF_000174435.1	Desulfonatronospira thiodismutans ASO3-1
GCF_000686525.1	Desulfonatronovibrio hydrogenovorans DSM 9292
GCF_000934755.1	Desulfonatronovibrio magnus
GCF_000519265.1	Desulfonatronum lacustre DSM 10312
GCF_054656975.1	Desulfonatronum parangueonense
GCF_000934745.1	Desulfonatronum thioautotrophicum
GCF_000717475.1	Desulfonatronum thiodismutans
GCF_900104215.1	Desulfonatronum thiosulfatophilum
GCF_900104045.1	Desulfonauticus submarinus
GCF_003851005.1	Desulfonema ishimotonii
GCF_017377355.1	Desulfonema limicola
GCF_017377395.1	Desulfonema magnum
GCF_900176035.1	Desulfonispora thiosulfatigenes DSM 11270
GCF_900143695.1	Desulfopila aestuarii DSM 18488
GCF_016919005.1	Desulfopila inferna
GCF_001748225.1	Desulfoplanes formicivorans
GCF_014201505.1	Desulfoprunum benzoelyticum
GCF_016907915.1	Desulforadius tongensis
GCF_900142375.1	Desulforamulus aeronauticus DSM 10349
GCF_030577015.1	Desulforamulus aquiferis
GCF_002005145.1	Desulforamulus ferrireducens
GCF_000315365.1	Desulforamulus hydrothermalis Lam5 = DSM 18033
GCF_002607855.1	Desulforamulus profundi
GCF_900129195.1	Desulforamulus putei DSM 12395
GCF_000016165.1	Desulforamulus reducens MI-1
GCF_000215085.1	Desulforamulus ruminis DSM 2154
GCF_000020365.1	Desulforapulum autotrophicum HRM2
GCF_000426225.1	Desulforegula conservatrix Mb1Pa
GCF_027925305.1	Desulforhabdus amnigena
GCF_900104445.1	Desulforhopalus singaporensis
GCF_016918505.1	Desulforhopalus vacuolatus
GCF_013761005.1	Desulfosalsimonas propionicica
GCF_009688945.1	Desulfosarcina alkanivorans
GCF_001311845.1	Desulfosarcina cetonica JCM 12296
GCF_009688985.1	Desulfosarcina ovata subsp. sediminis
GCF_048565275.1	Desulfosarcina variabilis str. Montpellier
GCF_009688965.1	Desulfosarcina widdelii
GCF_900115975.1	Desulfoscipio geothermicus DSM 3669
GCF_000233715.2	Desulfoscipio gibsoniae DSM 7213
GCF_005116655.2	Desulfosediminicola flagellatus
GCF_005116675.2	Desulfosediminicola ganghwensis
GCF_003751385.1	Desulfosoma caldarium
GCF_000420085.1	Desulfospira joergensenii DSM 10085
GCF_001029285.1	Desulfosporosinus acididurans
GCF_000255115.2	Desulfosporosinus acidiphilus SJ4
GCF_054657535.1	Desulfosporosinus burensis
GCF_004766045.1	Desulfosporosinus fructosivorans
GCF_900100785.1	Desulfosporosinus hippei DSM 8344
GCF_900129935.1	Desulfosporosinus lacus DSM 15449
GCF_000231385.2	Desulfosporosinus meridiei DSM 13257
GCF_001936615.1	Desulfosporosinus metallidurans
GCF_030500275.1	Desulfosporosinus nitroreducens
GCF_000235605.1	Desulfosporosinus orientis DSM 765
GCF_045689965.1	Desulfosporosinus paludis
GCF_020595055.1	Desulfosporosinus shakirovi
GCF_000244895.1	Desulfosporosinus youngiae DSM 17734
GCF_000018405.1	Desulfosudis oleivorans Hxd3
GCF_000025945.1	Desulfotalea psychrophila LSv54
GCF_052073645.1	Desulfothermobacter acidiphilus
GCF_054657475.1	Desulfothermus naphthae
GCF_054654515.1	Desulfothermus okinawensis JCM 13304
GCF_000421285.1	Desulfotignum balticum DSM 7044
GCF_000350545.1	Desulfotignum phosphitoxidans DSM 13687
GCF_001655685.1	Desulfotomaculum copahuensis
GCF_054657375.1	Desulfotomaculum defluvii
GCF_000214435.1	Desulfotomaculum nigrificans CO-1-SRB
GCF_000430885.1	Desulfotruncus alcoholivorax DSM 16058
GCF_900113335.1	Desulfotruncus arcticus DSM 17038
GCF_000620765.1	Desulfovermiculus halophilus DSM 18834
GCF_047716005.1	Desulfovibrio aminophilus
GCF_000430005.1	Desulfovibrio cuneatus DSM 11391
GCF_017815575.1	Desulfovibrio desulfuricans
GCF_001553605.1	Desulfovibrio fairfieldensis
GCF_045865545.1	Desulfovibrio falkowii
GCF_003966735.1	Desulfovibrio ferrophilus
GCF_900177375.1	Desulfovibrio gilichinskyi
GCF_000429305.1	Desulfovibrio inopinatus DSM 10711
GCF_014202345.1	Desulfovibrio intestinalis
GCF_004309735.1	Desulfovibrio legallii
GCF_900143255.1	Desulfovibrio litoralis DSM 11393
GCF_026230175.1	Desulfovibrio mangrovi
GCF_000375485.1	Desulfovibrio oxyclinae DSM 11498
GCF_937907355.1	Desulfovibrio piger
GCF_009696265.1	Desulfovibrio porci
GCF_013340305.1	Desulfovibrio psychrotolerans
GCF_027558435.1	Desulfovibrio subterraneus
