GCF_000732195.1	Neorhizobium vignae
GCF_900182915.1	Neorhodopirellula lusitana
GCF_007859915.1	Neorhodopirellula pilleata
GCF_009856525.1	Neorickettsia findlayensis
GCF_000632985.1	Neorickettsia helminthoeca str. Oregon
GCF_000022525.1	Neorickettsia risticii str. Illinois
GCF_014199195.1	Neoroseomonas alkaliterrae
GCF_018129005.1	Neoroseomonas eburnea
GCF_014644535.1	Neoroseomonas lacus
GCF_012927745.1	Neoroseomonas marina
GCF_012163135.1	Neoroseomonas oryzicola
GCF_016106015.1	Neoroseomonas rubea
GCF_018129065.1	Neoroseomonas soli
GCF_018129025.1	Neoroseomonas terrae
GCF_000775285.1	Neosynechococcus sphagnicola sy1
GCF_019623905.1	Neotabrizicola shimadae
GCF_020523925.1	Neotamlana laminarinivorans
GCF_000943555.1	Neotamlana nanhaiensis
GCF_020523965.1	Neotamlana sargassicola
GCF_000943565.1	Neotamlana sedimentorum
GCF_014270035.1	Neptunicella marina
GCF_047922965.1	Neptunicella plasticusilytica
GCF_014643735.1	Neptunicoccus cionae
GCF_001719615.1	Neptunicoccus sediminis
GCF_000153345.1	Neptuniibacter caesariensis
GCF_030295765.1	Neptuniibacter halophilus
GCF_965223595.1	Neptuniibacter marinus
GCF_001597735.1	Neptuniibacter pectenicola
GCF_027924145.1	Neptunitalea chrysea
GCF_027924185.1	Neptunitalea lumnitzerae
GCF_900156635.1	Neptunomonas antarctica
GCF_008630635.1	Neptunomonas concharum
GCF_000422765.1	Neptunomonas japonica DSM 18939
GCF_004005935.1	Neptunomonas marina
GCF_013394205.1	Neptunomonas phycophila
GCF_900113275.1	Neptunomonas qingdaonensis
GCF_047114695.1	Nereida ignava
GCF_033843645.1	Nesiotobacter zosterae
GCF_031470965.1	Nesterenkonia aerolata
GCF_039534665.1	Nesterenkonia aethiopica
GCF_000421745.1	Nesterenkonia alba DSM 19423
GCF_014639295.1	Nesterenkonia alkaliphila
GCF_004364585.1	Nesterenkonia aurantiaca
GCF_014642675.1	Nesterenkonia cremea
GCF_008711175.1	Nesterenkonia ebinurensis
GCF_031432335.1	Nesterenkonia flava
GCF_010119385.1	Nesterenkonia haasae
GCF_039536005.1	Nesterenkonia halobia
GCF_009467795.1	Nesterenkonia halophila
GCF_014874065.1	Nesterenkonia halotolerans
GCF_014138825.1	Nesterenkonia jeotgali
GCF_017876395.1	Nesterenkonia lacusekhoensis
GCF_014873955.1	Nesterenkonia lutea
GCF_025420485.1	Nesterenkonia marinintestina
GCF_000455245.1	Nesterenkonia massiliensis
GCF_003600155.1	Nesterenkonia muleiensis
GCF_003595215.1	Nesterenkonia natronophila
GCF_019575955.1	Nesterenkonia pannonica
GCF_007994735.1	Nesterenkonia populi
GCF_039544555.1	Nesterenkonia rhizosphaerae
GCF_005771525.1	Nesterenkonia salmonea
GCF_013410215.1	Nesterenkonia sandarakina
GCF_012641515.1	Nesterenkonia sedimenti
GCF_005771565.1	Nesterenkonia sphaerica
GCF_054782935.1	Nesterenkonia suensis
GCF_013410745.1	Nesterenkonia xinjiangensis
GCF_000420645.1	Nevskia ramosa DSM 11499
GCF_000711955.1	Nevskia soli DSM 19509
GCF_038719015.1	Nguyenibacter vanlangensis
GCF_021538615.1	Niabella agricola
GCF_054779315.1	Niabella aquatica
GCF_000374125.1	Niabella aurantiaca DSM 17617
GCF_020034665.1	Niabella beijingensis
GCF_036409055.1	Niabella digestorum
GCF_900101395.1	Niabella drilacis
GCF_022513635.1	Niabella ginsengisoli
GCF_001654455.1	Niabella ginsenosidivorans
GCF_022512515.1	Niabella hibiscisoli
GCF_051201075.1	Niabella hirudinis
GCF_039652435.2	Niabella insulamsoli
GCF_021044425.1	Niabella pedocola
GCF_000243115.2	Niabella soli DSM 19437
GCF_054783135.1	Niabella terrae
GCF_034424215.1	Niabella yanshanensis
GCF_012933555.1	Niallia alba
GCF_013267435.1	Niallia circulans
GCF_008710145.1	Niallia endozanthoxylica
GCF_040095995.1	Niallia hominis
GCF_002835805.1	Niallia nealsonii
GCF_036670025.1	Niallia oryzisoli
GCF_030229965.1	Niallia taxi
GCF_044704065.1	Niallia tiangongensis
GCF_001282685.1	Niameybacter massiliensis
GCF_004834005.1	Niastella caeni
GCF_000246855.1	Niastella koreensis GR20-10
GCF_002078015.1	Niastella populi
GCF_017742245.1	Niastella soli
GCF_002077945.1	Niastella vici
GCF_900110245.1	Niastella yeongjuensis
GCF_039541915.1	Nibrella saemangeumensis
GCF_039541875.1	Nibrella viscosa
GCF_039541795.1	Nibribacter koreensis
GCF_009913235.1	Nibribacter ruber
GCF_002310495.1	Nibricoccus aquaticus
GCF_004345745.1	Nicoletella semolina
GCF_037546185.1	Nicoliella lavandulae
GCF_023380205.1	Nicoliella spurrieriana
GCF_000826085.1	Nigerium massiliense
GCF_028401415.2	Ningiella algicola
GCF_004798935.1	Ningiella ruwaisensis
GCF_050896395.1	Nioella aestuarii
GCF_003428585.1	Nioella halotolerans
GCF_001879715.1	Nioella nitratireducens
GCF_004000255.1	Nioella ostreopsis
GCF_001879695.1	Nioella sediminis
GCF_024662015.1	Nisaea acidiphila
GCF_000426505.1	Nisaea denitrificans DSM 18348
GCF_014904795.1	Nisaea nitritireducens
GCF_014904705.1	Nisaea sediminum
GCF_018257325.1	Nissabacter archeti
GCF_011682075.1	Nitratidesulfovibrio liaohensis
GCF_015731765.1	Nitratidesulfovibrio oxamicus
GCF_000504305.1	Nitratidesulfovibrio termitidis HI1
GCF_000015485.1	Nitratidesulfovibrio vulgaris DP4
GCF_000186245.1	Nitratifractor salsuginis DSM 16511
GCF_014641695.1	Nitratireductor aestuarii
GCF_004000215.1	Nitratireductor alexandrii
GCF_900105565.1	Nitratireductor aquibiodomus
GCF_046773475.1	Nitratireductor aquimarinus
GCF_009742725.1	Nitratireductor arenosus
GCF_000733725.1	Nitratireductor basaltis
GCF_000300515.1	Nitratireductor indicus C115
GCF_019891395.1	Nitratireductor kimnyeongensis
GCF_026162365.1	Nitratireductor luteus
GCF_007922615.2	Nitratireductor mangrovi
GCF_000300335.1	Nitratireductor pacificus pht-3B
GCF_019891355.1	Nitratireductor rhodophyticola
GCF_001050155.1	Nitratireductor soli
GCF_036621415.1	Nitratireductor thuwali
GCF_027946175.1	Nitratiruptor tergarcus DSM 16512
GCF_000969705.1	Nitriliruptor alkaliphilus DSM 45188
GCF_008973755.1	Nitrincola alkalilacustris
GCF_009821115.1	Nitrincola alkalisediminis
GCF_008727795.1	Nitrincola iocasae
GCF_000691225.1	Nitrincola lacisaponensis
GCF_000585235.1	Nitrincola nitratireducens
GCF_046271865.1	Nitrincola salilacus
GCF_008973715.1	Nitrincola schmidtii
GCF_008368715.1	Nitrincola tapanii
GCF_003284585.1	Nitrincola tibetensis
GCF_000265075.1	Nitritalea halalkaliphila LW7
GCF_000013885.1	Nitrobacter hamburgensis X14
GCF_031453995.1	Nitrobacter vulgaris
GCF_000012725.1	Nitrobacter winogradskyi Nb-255
GCF_000153205.1	Nitrococcus mobilis Nb-231
GCF_017309585.1	Nitrogeniibacter aestuarii
GCF_010983895.1	Nitrogeniibacter mangrovi
GCF_000297255.1	Nitrolancea hollandica Lb
GCF_000024725.1	Nitrosococcus halophilus Nc 4
GCF_000012805.1	Nitrosococcus oceani ATCC 19707
GCF_004421105.1	Nitrosococcus wardiae
GCF_000143085.1	Nitrosococcus watsonii C-113
GCF_003046585.1	Nitrosomonas aestuarii
GCF_001007935.1	Nitrosomonas communis
GCF_900143275.1	Nitrosomonas cryotolerans ATCC 49181
GCF_000009145.1	Nitrosomonas europaea ATCC 19718
GCF_000014765.1	Nitrosomonas eutropha C91
GCF_900107165.1	Nitrosomonas halophila
GCF_900110145.1	Nitrosomonas marina
GCF_900103035.1	Nitrosomonas mobilis
GCF_003051105.1	Nitrosomonas nitrosa
GCF_009833085.1	Nitrosomonas oligotropha
GCF_003011925.2	Nitrosomonas supralitoralis
GCF_001455205.1	Nitrosomonas ureae
GCF_015100395.1	Nitrosophilus alvini
GCF_027943725.1	Nitrosophilus kaiyonis
GCF_014466985.1	Nitrosophilus labii
GCF_000619905.2	Nitrosospira briensis C-128
GCF_000355765.4	Nitrosospira lacus
GCF_000196355.1	Nitrosospira multiformis ATCC 25196
GCF_900109785.1	Nitrosovibrio tenuis
GCF_000341545.2	Nitrospina gracilis 3/211
GCF_946900835.1	Nitrospina watsonii
GCF_976986435.1	Nitrospira calida
GCF_905220995.1	Nitrospira defluvii
GCF_900169565.1	Nitrospira japonica
GCF_900403705.1	Nitrospira lenta
GCF_001273775.1	Nitrospira moscoviensis
GCF_947241125.1	Nitrospira tepida
GCF_029594735.1	Nitrospirillum amazonense
GCF_007828025.1	Nitrospirillum bahiense
GCF_034427435.1	Nitrospirillum goiasense
GCF_034653355.1	Nitrospirillum guanabarense
GCF_034653275.1	Nitrospirillum guaranorum
GCF_014205765.1	Nitrospirillum iridis
GCF_036348415.1	Nitrospirillum karajorum
GCF_007827955.1	Nitrospirillum pindoramense
GCF_000730165.1	Nitrospirillum viridazoti CBAmc
GCF_017161445.1	Niveibacterium microcysteis
GCF_048213115.1	Niveibacterium terrae
GCF_014197015.1	Niveibacterium umoris
GCF_002868735.1	Niveispirillum cyanobacteriorum
GCF_052474395.1	Niveispirillum fermenti
GCF_000429645.1	Niveispirillum irakense DSM 11586
GCF_002251795.1	Niveispirillum lacus
GCF_020731305.1	Nocardia abscessus
GCF_016741815.1	Nocardia acididurans
GCF_001625085.1	Nocardia acidivorans NBRC 108247
GCF_001612635.1	Nocardia africana NBRC 100379
GCF_004339125.1	Nocardia alba
GCF_018860155.1	Nocardia albiluteola
GCF_019038435.1	Nocardia alni
GCF_001612685.1	Nocardia altamirensis NBRC 108246
GCF_001612745.1	Nocardia amamiensis NBRC 102102
GCF_900215415.1	Nocardia amikacinitolerans
GCF_001612725.1	Nocardia anaemiae NBRC 100462
GCF_000308375.1	Nocardia aobensis NBRC 100429
GCF_000308435.1	Nocardia araoensis NBRC 100135
GCF_001618405.1	Nocardia arizonensis
GCF_046764875.1	Nocardia arseniciresistens
GCF_001612765.1	Nocardia arthritidis NBRC 100137
GCF_000308415.1	Nocardia asiatica NBRC 100129
GCF_900637185.1	Nocardia asteroides
GCF_009604425.1	Nocardia aurantia
GCF_009708175.1	Nocardia aurantiaca
GCF_003123685.1	Nocardia aurea
