GCF_040930405.1	Kluyvera sichuanensis
GCF_000768695.1	Knoellia aerolata DSM 18566
GCF_042666355.1	Knoellia altitudinis
GCF_014636255.1	Knoellia flava
GCF_013041615.1	Knoellia koreensis
GCF_007992835.1	Knoellia locipacati
GCF_042666395.1	Knoellia pratensis
GCF_003002895.1	Knoellia remsis
GCF_000768705.1	Knoellia sinensis KCTC 19936
GCF_000768685.1	Knoellia subterranea KCTC 19937
GCF_048606435.1	Knoellia terrae
GCF_048606415.1	Knoellia tibetensis
GCF_039530085.1	Kocuria aegyptia
GCF_042879215.1	Kocuria arenosa
GCF_039531425.1	Kocuria atrinae
GCF_042647725.1	Kocuria carniphila
GCF_040981245.1	Kocuria cellulosilytica
GCF_008831305.1	Kocuria coralli
GCF_014636775.1	Kocuria dechangensis
GCF_001482365.1	Kocuria flava
GCF_039544365.1	Kocuria gwangalliensis
GCF_044462225.1	Kocuria kalidii
GCF_014652975.1	Kocuria marina
GCF_900169715.1	Kocuria massiliensis
GCF_042879195.1	Kocuria nitroreducens
GCF_029524215.1	Kocuria oceani
GCF_040981195.1	Kocuria oxytropis
GCF_016907795.1	Kocuria palustris
GCF_035990065.1	Kocuria rhizophila
GCF_044462265.1	Kocuria rhizosphaerae
GCF_044462205.1	Kocuria rhizosphaericola
GCF_004358895.1	Kocuria rosea
GCF_042879235.1	Kocuria sabuli
GCF_039532055.1	Kocuria salsicia
GCF_009735315.1	Kocuria sediminis
GCF_003797835.1	Kocuria soli
GCF_012163155.1	Kocuria subflava
GCF_001580365.1	Kocuria turfanensis
GCF_003687175.1	Kocuria tytonicola
GCF_003226895.2	Kocuria tytonis
GCF_006539885.1	Kocuria varians
GCF_017301615.1	Koleobacter methoxysyntrophicus
GCF_007748055.1	Kolteria novifilia
GCF_043995075.1	Komagataeibacter diospyri
GCF_002173515.1	Komagataeibacter europaeus
GCF_949281285.1	Komagataeibacter intermedius
GCF_000613305.1	Komagataeibacter kakiaceti JCM 25156
GCF_000182745.2	Komagataeibacter medellinensis NBRC 3288
GCF_003403295.1	Komagataeibacter melaceti
GCF_013155395.1	Komagataeibacter melomenusus
GCF_002009295.1	Komagataeibacter nataicola
GCF_018491655.1	Komagataeibacter oboediens
GCF_011611525.1	Komagataeibacter rhaeticus
GCF_004348195.1	Komagataeibacter saccharivorans
GCF_040581405.1	Komagataeibacter sucrofermentans DSM 15973
GCF_003207895.1	Komagataeibacter swingsii
GCF_004006375.1	Komagataeibacter xylinus
GCF_014831675.1	Komarekiella delphini-convector SJRDD-AB1
GCF_900184995.1	Konateibacter massiliensis
GCF_014397005.1	Kordia aestuariivivens
GCF_000154725.1	Kordia algicida OT-1
GCF_009901525.1	Kordia antarctica
GCF_001005315.1	Kordia jejudonensis
GCF_003054265.1	Kordia periserrulae
GCF_001005305.1	Kordia zhangzhouensis
GCF_025574465.1	Kordiimonas aestuarii
GCF_025574485.1	Kordiimonas aquimaris
GCF_000375545.1	Kordiimonas gwangyangensis DSM 19435 = JCM 12864
GCF_900101935.1	Kordiimonas lacus
GCF_023008165.1	Kordiimonas laminariae
GCF_001550065.1	Kordiimonas lipolytica
GCF_023006325.1	Kordiimonas marina
GCF_015240255.1	Kordiimonas pumila
GCF_014656395.1	Kordiimonas sediminis
GCF_009363135.1	Kosakonia arachidis
GCF_038449125.1	Kosakonia calanthes
GCF_025758125.1	Kosakonia cowanii
GCF_001658025.2	Kosakonia oryzae
GCF_027886705.1	Kosakonia oryzendophytica
GCF_900094795.1	Kosakonia oryziphila
GCF_015167415.1	Kosakonia pseudosacchari
GCF_004331415.1	Kosakonia quasisacchari
GCF_008330085.1	Kosakonia radicincitans
GCF_000300455.3	Kosakonia sacchari SP1
GCF_001636545.1	Kosmotoga arenicorallina S304
GCF_000023325.1	Kosmotoga olearia TBF 19.5.1
GCF_001027025.1	Kosmotoga pacifica
GCF_020091585.1	Kovacikia minuta CCNUW1
GCF_001787355.1	Kozakia baliensis
GCF_004217545.1	Krasilnikovia cinnamomea
GCF_900167525.1	Krasilnikoviella flava
GCF_039529635.1	Kribbella alba
GCF_004348455.1	Kribbella albertanoniae
GCF_017876295.1	Kribbella aluminosa
GCF_007828865.1	Kribbella amoyensis
GCF_004349055.1	Kribbella antibiotica
GCF_004345665.1	Kribbella antiqua
GCF_004331485.1	Kribbella capetownensis
GCF_000372465.1	Kribbella catacumbae DSM 19601
GCF_004361855.1	Kribbella caucasensis
GCF_042434725.1	Kribbella deserti
GCF_000024345.1	Kribbella flavida DSM 17836
GCF_039537185.1	Kribbella ginsengisoli
GCF_039531045.1	Kribbella hippodromi
GCF_014205135.1	Kribbella italica
GCF_006715085.1	Kribbella jejuensis
GCF_005233875.1	Kribbella jiaozuonensis
GCF_004365875.1	Kribbella kalugense
GCF_039529615.1	Kribbella karoonensis
GCF_039525325.1	Kribbella koreensis
GCF_039529595.1	Kribbella lupini
GCF_003261635.1	Kribbella monticola
GCF_004342085.1	Kribbella orskensis
GCF_004331465.1	Kribbella pittospori
GCF_004366075.1	Kribbella pratensis
GCF_042657745.1	Kribbella qitaiheensis
GCF_004217145.1	Kribbella rubisoli
GCF_039530625.1	Kribbella sancticallisti
GCF_014207795.1	Kribbella sandramycini
GCF_011761605.1	Kribbella shirazensis
GCF_004331435.1	Kribbella sindirgiensis
GCF_014205295.1	Kribbella solani
GCF_004331345.1	Kribbella soli
GCF_004331375.1	Kribbella speibonae
GCF_004342025.1	Kribbella steppae
GCF_004348725.1	Kribbella turkmenica
GCF_004365175.1	Kribbella voronezhensis
GCF_039529655.1	Kribbella yunnanensis
GCF_001552435.1	Kribbia dieselivorans NBRC 106261
GCF_030067705.1	Kribbibacterium absianum
GCF_900103215.1	Kriegella aquimaris
GCF_013282215.1	Kroppenstedtia eburnea
GCF_014637345.1	Kroppenstedtia guangzhouensis
GCF_013265585.1	Kroppenstedtia pulmonis
GCF_042680165.1	Kroppenstedtia sanguinis
GCF_000178855.1	Ktedonobacter racemifer DSM 44963
GCF_016587375.1	Ktedonobacter robiniae
GCF_016587355.1	Ktedonospora formicarum
GCF_004208415.1	Ktedonosporobacter rubrisoli
GCF_003012745.1	Kumtagia ephedrae
GCF_006539985.1	Kurthia gibsonii
GCF_000505545.1	Kurthia huakuii LAM0618
GCF_000285555.1	Kurthia massiliensis
GCF_042686175.1	Kurthia populi
GCF_000285595.1	Kurthia senegalensis
GCF_007989725.1	Kurthia sibirica
GCF_900452285.1	Kurthia zopfii
GCF_000382245.1	Kushneria aurantia DSM 21353
GCF_900112585.1	Kushneria avicenniae
GCF_003385845.1	Kushneria indalinina DSM 14324
GCF_002155145.1	Kushneria konosiri
GCF_002157205.1	Kushneria marisflavi
GCF_014652795.1	Kushneria pakistanensis
GCF_008247605.1	Kushneria phosphatilytica
GCF_900312995.1	Kushneria phyllosphaerae
GCF_003633775.1	Kushneria sinocarnis
GCF_000525635.1	Kutzneria albida DSM 43870
GCF_043575855.1	Kutzneria buriramensis
GCF_028622115.1	Kutzneria chonburiensis
GCF_014203355.1	Kutzneria kofuensis
GCF_014138725.1	Kutzneria viridogrisea
GCF_002804065.1	Kyrpidia spormannii
GCF_000092905.1	Kyrpidia tusciae DSM 2912
GCF_900187395.1	Kytococcus aerolatus
GCF_042433515.1	Kytococcus schroeteri
GCF_016127495.1	Kytococcus sedentarius
GCF_004362825.1	Labedaea rhizosphaerae
GCF_003990045.1	Labedella endophytica
GCF_003014675.1	Labedella gwakjiensis
GCF_004078635.1	Labedella phragmitis
GCF_004078655.1	Labedella populi
GCF_001659685.2	Labilibacter marinus
GCF_002356295.1	Labilibaculum antarcticum
